"Genes","YG_2h_prob","YG_2h_l2fc","YG_2h_sig","YG_training_prob","YG_training_l2fc","YG_training_sig","Old_2h_prob","Old_2h_l2fc","Old_2h_sig","Old_training_prob","Old_training_l2fc","Old_training_sig"
"10632",0.788138247513371,-0.0503740571815745,"FALSE",0.915495039333975,0.245898961434654,"TRUE",0.716873767147316,-0.0835800012057874,"FALSE",0.613039109668173,0.226043692899071,"FALSE"
"7284",0.739120163458874,0.0392334629422046,"FALSE",0.982635730003915,0.326792887677928,"TRUE",0.702061639149129,-0.0216409919325134,"FALSE",0.775238570944566,0.295724971708373,"FALSE"
"56704",0.729515807813322,0.0589795495877038,"FALSE",0.861468848738536,-0.495125456442125,"TRUE",0.44926404214322,0.0750051092437437,"FALSE",0.430734806906527,-0.238265448112954,"FALSE"
"4702",0.788659802832066,-0.0497607874493642,"FALSE",0.960885742748486,0.344992284696385,"TRUE",0.715280117891631,-0.0389786251042086,"FALSE",0.630090303065758,0.197520413050863,"FALSE"
"4924",0.746248382414664,0.0548173941304702,"FALSE",0.928945462486021,0.288881830059073,"TRUE",0.514862209137914,0.0739897542609713,"FALSE",0.097528722019076,0.0435539510087679,"FALSE"
"6182",0.747181190965627,0.0455672501240171,"FALSE",0.974574427392995,0.468507957956705,"TRUE",0.719311173003713,-0.0995276982114714,"FALSE",0.617169524325952,0.300911140692567,"FALSE"
"2787",0.774069791130042,-0.00768794195045947,"FALSE",0.889094821440416,0.270372105171656,"TRUE",0.719811389358168,-0.0688452207548579,"FALSE",0.476776025916941,0.191923826318048,"FALSE"
"5695",0.755077521274042,-0.0694813898433569,"FALSE",0.808326650033989,0.161033671249192,"TRUE",0.652110947980082,0.0126964183561082,"FALSE",0.086130800816659,0.0285204501580597,"FALSE"
"5730",0.728165154023034,0.557107713987601,"FALSE",0.936997141132904,0.784529546373589,"TRUE",0.661258433435332,0.0165326607229981,"FALSE",0.670637532374917,0.643347766059761,"FALSE"
"1384",0.759284793455524,0.0252468051166271,"FALSE",0.914991669093407,0.350821569462016,"TRUE",0.707464166023935,-0.0379617431785223,"FALSE",0.525052422098301,0.220912888418092,"FALSE"
"26355",0.787858602594618,-0.0586442820098342,"FALSE",0.946530893818081,0.326981920644141,"TRUE",0.58012705706964,0.0471053446735367,"FALSE",0.667673701626167,0.269178181348132,"FALSE"
"1892",0.76712548609323,0.00578617231011109,"FALSE",0.937298536972355,0.281631792714332,"TRUE",0.688189324607981,-0.00546554742841589,"FALSE",0.771223693185668,0.291109516841642,"FALSE"
"171568",0.747080904941988,0.0438038686661593,"FALSE",0.960460337289732,0.371743044830638,"TRUE",0.717723276946813,-0.0536708620705094,"FALSE",0.586547354181604,0.256085170499435,"FALSE"
