"","Trained_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"3611",38.2533333333333,31.1916666666667,0.98106696889386,0.892868533864967,0.29442482498134,"TRUE"
"10156",26.0016666666667,31.035,-0.52043310411172,0.338851442345101,-0.255292045178,"FALSE"
"54948",31.7466666666667,26.425,0.753313097927846,0.817511378975844,0.264701648279133,"TRUE"
"8266",24.9766666666667,25.6466666666667,-0.128297826670825,0.0232265362024461,-0.0381903781626079,"FALSE"
"26234",25.4,26.06,-0.106627551624454,0.0137120019923337,-0.0370085869086063,"FALSE"
"308",45.1516666666667,30.4616666666667,1.61458459710144,0.950503993151112,0.567784363366909,"TRUE"
"55847",24.8566666666667,22.2716666666667,0.406987042797313,0.572779455654256,0.158423316724697,"FALSE"
"53635",45.07,47.4766666666667,-0.235013585328616,0.0891128470211239,-0.0750511969677257,"FALSE"
"9589",23.1483333333333,23.9333333333333,-0.132829827709583,0.0254614468795173,-0.0481130193143908,"FALSE"
"55260",38.0933333333333,31.35,0.989119354810053,0.89535130904474,0.281073092525814,"TRUE"
"5829",46.655,47.59,-0.105903963454534,0.0134292921885992,-0.0286267520139149,"FALSE"
"5589",25.5,24.7116666666667,0.128138841823483,0.165206356258782,0.0453049312515885,"FALSE"
"79036",27.425,25.7083333333333,0.247785856977968,0.347663254786387,0.0932555370875689,"FALSE"
"112483",28,26.7416666666667,0.191422688342952,0.264511433137671,0.0663374433843152,"FALSE"
"60685",29.3216666666667,31.885,-0.420502494567033,0.262611604322614,-0.120910771470832,"FALSE"
"55744",24.275,23.56,0.129202103694356,0.166856084544389,0.0431317564760935,"FALSE"
"1207",24.4633333333333,25.2666666666667,-0.140560597234509,0.0294275365071537,-0.0466143511761138,"FALSE"
"10471",22.3116666666667,21.0533333333333,0.186043248262732,0.256559045562341,0.0837496154907888,"FALSE"
"5550",28.655,25.1816666666667,0.509844205995336,0.659353090011934,0.186413124230881,"FALSE"
"100302233",0.5,1.695,-0.786197996417736,0.503022306121519,-1.76128527336162,"FALSE"
"29761",20.9316666666667,22.3866666666667,-0.250575340999912,0.102268165692344,-0.0969525399857531,"FALSE"
"79031",15.4416666666667,17.7616666666667,-0.524197943029292,0.33911428423365,-0.201938487852496,"FALSE"
"7259",31.7516666666667,34.0433333333333,-0.242799839655859,0.0956996536543373,-0.100539982671952,"FALSE"
"3837",24.53,24.7,-0.032719680411322,0.0010319802106763,-0.00996380791443783,"FALSE"
"1654",20.3716666666667,23.1183333333333,-0.507078020825543,0.334194077589754,-0.18247337727588,"FALSE"
"23788",30.1633333333333,24.495,0.885799757290002,0.87209331525278,0.300308577229208,"TRUE"
"128977",24.5433333333333,29.835,-0.839206958099443,0.550004200455299,-0.281674576103458,"FALSE"
"26354",18.29,19.6133333333333,-0.258144177420518,0.108548973339813,-0.100779670784957,"FALSE"
"118472",21.4283333333333,20.75,0.125616194300932,0.161308270343573,0.0464083070573974,"FALSE"
"9670",29.3316666666667,31.6033333333333,-0.381527288039856,0.220065404160788,-0.107617684006784,"FALSE"
"57222",32.77,37.2716666666667,-0.695325952637231,0.454213814579561,-0.185703660218114,"FALSE"
"3020",75.15,62.2433333333333,0.764790497807272,0.82415978588991,0.271853780727899,"TRUE"
"221154",24.9583333333333,25.4233333333333,-0.0723522740335518,0.00303393148007869,-0.0266316018563642,"FALSE"
"3192",21.495,21.8516666666667,-0.0660170685161958,0.00182045811041154,-0.0237422105961916,"FALSE"
"23412",29.6983333333333,32.025,-0.333244469248214,0.173729701709901,-0.108816601130222,"FALSE"
"10469",22.1966666666667,21.135,0.20401629429578,0.282826783448257,0.0707089270652084,"FALSE"
"4953",29.9116666666667,30.465,-0.0768397611905797,0.00405791112350551,-0.0264444412404881,"FALSE"
"9877",22.595,24.3266666666667,-0.30461363001368,0.147392622624824,-0.106535093192322,"FALSE"
"5478",37.5616666666667,25.6,1.42415106518973,0.958513110921482,0.553117268697951,"TRUE"
"23022",33.19,38.53,-0.64099821016109,0.414574670716704,-0.21523355658125,"FALSE"
"10575",27.47,28.1366666666667,-0.113538233626559,0.0165284545985994,-0.0345945131032135,"FALSE"
"8662",24.48,28.975,-0.771740321472446,0.485645452794983,-0.243205103201182,"FALSE"
"11124",26.7966666666667,27.1133333333333,-0.0529898114803722,0.000248681069462853,-0.0169489402376542,"FALSE"
"57062",25.36,29.1133333333333,-0.661216211009478,0.433439872566711,-0.199125284919692,"FALSE"
"26273",25.0716666666667,27.4983333333333,-0.396502154851621,0.236991855141619,-0.133286275822384,"FALSE"
"10180",25.2916666666667,21.0216666666667,0.673515682667602,0.774548246327023,0.266785055218894,"FALSE"
"9114",30.5133333333333,28.9633333333333,0.220364790695701,0.306559843121306,0.0752121422931663,"FALSE"
"1642",35.4333333333333,36.175,-0.123719680399605,0.0210499509906379,-0.0298858257217758,"FALSE"
"2339",26.0983333333333,24.43,0.295520950133449,0.418733424882455,0.0953038141283103,"FALSE"
"6884",13.2416666666667,12.7683333333333,0.0992938582847609,0.121674483043439,0.0525144983271664,"FALSE"
"8655",38.4133333333333,24.305,1.61847377324441,0.950364970197313,0.660354025650133,"TRUE"
"25844",29.235,28.8366666666667,0.0668921563113125,0.078439235205505,0.0197921833749334,"FALSE"
"51398",31.955,31.1983333333333,0.108914750816958,0.13595434481309,0.0345727273934858,"FALSE"
"9978",29.1066666666667,27.3466666666667,0.25803414090751,0.363263608662002,0.0899846385109389,"FALSE"
"550",28.0566666666667,28.2833333333333,-0.03956574043664,0.000223475604898438,-0.011608542431422,"FALSE"
"57410",26.8733333333333,28.2983333333333,-0.216651029773521,0.0743633476664657,-0.0745418037150725,"FALSE"
"10067",25.6483333333333,28.18,-0.384684381349148,0.223606457729576,-0.135806531228742,"FALSE"
"381",49.7516666666667,42.0583333333333,0.926798486465717,0.884089918698624,0.242353175536343,"TRUE"
"8148",20.1233333333333,20.71,-0.107808019685417,0.0141787683818465,-0.0414582531289435,"FALSE"
"55608",30.715,29.4433333333333,0.223474842015043,0.311129164962889,0.0610023725304653,"FALSE"
"79699",21.7083333333333,21.985,-0.0488193974685559,4.56430001897212e-05,-0.0182705658805703,"FALSE"
"9275",29.3183333333333,31.4816666666667,-0.326088685623376,0.167308369785076,-0.102708827835674,"FALSE"
"57153",33.2833333333333,33.4333333333333,-0.0179950937346213,0.0051446154603233,-0.00648727316820828,"FALSE"
"10472",18.6433333333333,21.3533333333333,-0.575338126145115,0.348473565113006,-0.195801467789103,"FALSE"
"781",21.4416666666667,22.5366666666667,-0.215518195330845,0.0735147913363009,-0.0718570951908692,"FALSE"
"7327",30.8566666666667,32.0483333333333,-0.191125826702239,0.0572687341174142,-0.0546671105158646,"FALSE"
"100288798",22.5683333333333,29.1616666666667,-0.826819551233417,0.544678560895841,-0.369773296134225,"FALSE"
"138716",31.5983333333333,29.37,0.307009500638722,0.435452899640316,0.105505199222315,"FALSE"
"51204",25.6133333333333,19.3866666666667,1.06291342958484,0.917525606612517,0.401830249745933,"TRUE"
"23242",23.3116666666667,25.1516666666667,-0.316042495476934,0.158034937499248,-0.10960184931846,"FALSE"
"55819",23.9,20.3616666666667,0.598910103858523,0.718731798319435,0.231154962817734,"FALSE"
"4802",31.3183333333333,28.4583333333333,0.45620575760176,0.624497225245994,0.138156266137881,"FALSE"
"9882",26.8516666666667,29.37,-0.37208027512843,0.209789592227935,-0.129331627466579,"FALSE"
"6009",30.2166666666667,28.915,0.232583997088011,0.324660983639196,0.0635264171268754,"FALSE"
"100507246",26.5816666666667,27.7933333333333,-0.181590982119211,0.0517495473066901,-0.0643073072041133,"FALSE"
"140456",22.9833333333333,26.8933333333333,-0.524152727364693,0.33911356672262,-0.226660532211619,"FALSE"
"26986",33.7,23.4,1.53196124895404,0.961460570600247,0.526240061598454,"TRUE"
"27309",19.8883333333333,20.59,-0.123995699461046,0.021178280414506,-0.0500214483425862,"FALSE"
"816",31.7466666666667,36.405,-0.593212814234861,0.364753476051905,-0.197531489323112,"FALSE"
"4833",24.6083333333333,22.605,0.253907409677715,0.356988053440777,0.12250503298118,"FALSE"
"6256",21.2816666666667,23.1166666666667,-0.274982003807736,0.122084647423712,-0.11932224238059,"FALSE"
"85457",30.4133333333333,34.4466666666667,-0.572777988448656,0.346463762918243,-0.179660437112723,"FALSE"
"6100",15.695,17.4966666666667,-0.369681538244949,0.20728329803521,-0.156775067907506,"FALSE"
"23118",20.1366666666667,25.7433333333333,-1.11799432020982,0.491106108559285,-0.354373984803765,"FALSE"
"5300",27.7433333333333,28.2766666666667,-0.0862249032282972,0.00660831892028413,-0.0274709247843401,"FALSE"
"2091",27.3216666666667,28.2816666666667,-0.151010394432699,0.0349956854772644,-0.0498216490161186,"FALSE"
"3608",29.4666666666667,30.275,-0.13176657990853,0.0249303778722287,-0.0390430910240533,"FALSE"
"142685",21.6916666666667,29.18,-1.22229635710811,0.625815056765488,-0.427838977347573,"FALSE"
"7004",29.2266666666667,30.6333333333333,-0.178955717185815,0.0502697537961216,-0.0678170632158702,"FALSE"
"54715",28.5116666666667,33.895,-0.793741515007297,0.512601812869397,-0.249520095439277,"FALSE"
"824",33.48,27.4633333333333,0.981582136155022,0.893012331144678,0.285792786175452,"TRUE"
"6734",27.5816666666667,28.1516666666667,-0.0985515406359821,0.0106760526696839,-0.0295107002309055,"FALSE"
"79365",28.7133333333333,30.3183333333333,-0.202211742825593,0.0641939759636401,-0.0784696246535639,"FALSE"
"10169",32.4966666666667,22.8033333333333,1.38558236062461,0.948868889090216,0.511047012529309,"TRUE"
"8611",31.8266666666667,29.5883333333333,0.297008889690235,0.420892656541725,0.105207631736968,"FALSE"
"100329109",23.7333333333333,16.6016666666667,1.03834551927531,0.914685549137009,0.515586657269674,"TRUE"
"9413",29.5666666666667,35.4733333333333,-0.812808349610156,0.53387766047523,-0.262763298994531,"FALSE"
"950",24.285,26.6966666666667,-0.377310782704284,0.215409767856214,-0.136594132566893,"FALSE"
"23420",18.3083333333333,22.5616666666667,-0.646585769586396,0.420297360305969,-0.301373181952963,"FALSE"
"267",19.825,26.69,-1.22133067225609,0.625155804981895,-0.428978439550626,"FALSE"
"9482",21.76,20.1533333333333,0.288177392419302,0.408065204566585,0.110660078343789,"FALSE"
"6575",35.0833333333333,48.965,-1.25016983749221,0.645951461286883,-0.480965057102393,"FALSE"
"6746",32.7066666666667,28.9733333333333,0.516679106571622,0.662430487854855,0.174859059376319,"FALSE"
"80318",15.2216666666667,15.7316666666667,-0.121639528420341,0.0200901790273205,-0.0475451903398681,"FALSE"
"84326",37.0533333333333,39.6966666666667,-0.272647039229967,0.12022114051983,-0.0994145353804003,"FALSE"
"5516",20.62,21.9716666666667,-0.240000006865303,0.0933251280120799,-0.0915999772252101,"FALSE"
"54987",43.1116666666667,43.835,-0.0878069447721336,0.0070865761946306,-0.0240049107970789,"FALSE"
"3636",32.525,31.1533333333333,0.185042386080159,0.255065316342195,0.0621625204615143,"FALSE"
"8291",23.0833333333333,28.0533333333333,-0.614702184493775,0.386086546309898,-0.28132063346839,"FALSE"
"8452",16.005,17.31,-0.269404652823097,0.117636007337096,-0.113083047821058,"FALSE"
"351",35.8016666666667,20.1483333333333,2.12678474640014,0.988150930743958,0.829366246296472,"TRUE"
"10576",20.0483333333333,19.98,0.0121542153378962,0.0236086828885531,0.00492572379037959,"FALSE"
"9967",26.6183333333333,31.2333333333333,-0.745617801472907,0.467812343781365,-0.230666305252722,"FALSE"
"23",20.84,23.2133333333333,-0.465296106664325,0.299369790020392,-0.155598424651437,"FALSE"
"5510",22.6933333333333,22.965,-0.049301721217467,5.96291074618227e-05,-0.0171682472561374,"FALSE"
"374882",28.0566666666667,34.2383333333333,-0.723982294818372,0.463663969454106,-0.287268858772728,"FALSE"
"84333",31.9716666666667,23.2916666666667,1.38359130049752,0.948323972353792,0.456980075800286,"TRUE"
"84909",25.9733333333333,26.1783333333333,-0.0292153332116213,0.00170094009947674,-0.0113420730563531,"FALSE"
"84300",33.64,24.5016666666667,1.49826879847653,0.950940635211469,0.457297817183453,"TRUE"
"123722",23.5283333333333,24.3466666666667,-0.140544857798416,0.0294192792884352,-0.0493251360020403,"FALSE"
"10434",22.1166666666667,17.695,0.761302945886339,0.82215253864577,0.321792203111169,"TRUE"
"338657",34.705,33.9283333333333,0.0875401035778174,0.104880633411254,0.0326529668956645,"FALSE"
"10121",29.6633333333333,31.575,-0.281523501283048,0.12735300267056,-0.0901020083287958,"FALSE"
"10054",23.7083333333333,25.9866666666667,-0.340091430614481,0.179753484260763,-0.132377343176583,"FALSE"
"57110",23.9633333333333,20.9016666666667,0.509165669392986,0.659047965709388,0.197210617821946,"FALSE"
"10069",25.6466666666667,24.5566666666667,0.199909178347002,0.276883713501312,0.0626565870099086,"FALSE"
"51255",28.49,34.0783333333333,-0.78349171837423,0.499586533608112,-0.258399157841775,"FALSE"
"338599",22.21,32.6633333333333,-1.27378562232777,0.662403225315313,-0.556462634330695,"FALSE"
"79735",36.1766666666667,36.1683333333333,0.000937407036794587,0.0153586315429376,0.000332364606461903,"FALSE"
"1831",44.4133333333333,41.91,0.231336137853818,0.322794159267515,0.0836983318225759,"FALSE"
"25996",17.1283333333333,12.8533333333333,0.864908534156323,0.862128467768284,0.414242226452885,"TRUE"
"102157402",14.1333333333333,15.03,-0.203508192468903,0.0650511210115573,-0.0887432451869594,"FALSE"
"10146",21.655,25.5333333333333,-0.702761236758198,0.457461327051974,-0.237681719023595,"FALSE"
"201965",19.7633333333333,19.0616666666667,0.110274915764403,0.137995466857765,0.05215202845793,"FALSE"
"6566",16.025,14.5083333333333,0.309241135806417,0.438719233300432,0.143442559688796,"FALSE"
"2907",35.9116666666667,30.14,0.74370793727307,0.812060975766516,0.252773193347188,"TRUE"
"5721",31.6783333333333,21.6333333333333,1.52097303172538,0.958004717113203,0.550240456557368,"TRUE"
"64359",40.5333333333333,39.8416666666667,0.0816287814394041,0.0968700083851223,0.0248308230958909,"FALSE"
"10965",32.8,22.7816666666667,1.19230628279981,0.938865203848975,0.525822518904512,"TRUE"
"10294",19.7716666666667,22.385,-0.460919257536976,0.296027084898359,-0.179097829046476,"FALSE"
"64118",31.4366666666667,28.91,0.406864893426084,0.572639227335718,0.120879643183058,"FALSE"
"54583",24.4866666666667,29.9866666666667,-0.927772545298585,0.571090390694216,-0.292324765046159,"FALSE"
"3281",21.03,19.655,0.279745584159813,0.395744164717114,0.0975524863076854,"FALSE"
"7332",26.71,26.5566666666667,0.0277050328675172,0.037138017603677,0.00830590177551294,"FALSE"
"7067",25.8583333333333,26.6933333333333,-0.139683975344819,0.0289696203583925,-0.0458501824199121,"FALSE"
"10134",26.9983333333333,19.6266666666667,1.18118872422751,0.936713421574121,0.460055178604167,"TRUE"
"6525",26.61,23.1266666666667,0.515629556749075,0.661955528992175,0.202411170456994,"FALSE"
"10670",30.71,30.5466666666667,0.0285843521240997,0.0379628569356925,0.00769355439235586,"FALSE"
"6284",50.265,34.4216666666667,1.0661015554231,0.917367328562619,0.546237234175889,"TRUE"
"2067",36.5816666666667,30.5633333333333,0.86596734985452,0.862680928389214,0.259318909187375,"TRUE"
"5704",26.49,26.27,0.0412972887063128,0.0504749260119451,0.0120316432359905,"FALSE"
"84248",22.8133333333333,24.6133333333333,-0.335651029916201,0.175857859640705,-0.109562793156361,"FALSE"
"11316",39.37,34.85,0.640417833181632,0.754468814754143,0.175938056403256,"FALSE"
"9167",29.3466666666667,26.2166666666667,0.481513617656529,0.644918479644185,0.162712379588508,"FALSE"
"79135",22.2816666666667,15.8566666666667,1.18402443820714,0.937315139675791,0.490767625594455,"TRUE"
"9318",19.39,20.755,-0.304220606198092,0.147030894865461,-0.0981461284968153,"FALSE"
"4170",35.465,40.6433333333333,-0.789244327851718,0.506910335908167,-0.19662278095096,"FALSE"
"81847",27.6566666666667,30.8716666666667,-0.462254917051164,0.297035005989795,-0.158656086301402,"FALSE"
"10245",29.9,28.7833333333333,0.146678473835185,0.194589331026492,0.0549118073903369,"FALSE"
"22877",22.9566666666667,26.37,-0.55413120398257,0.337415496482424,-0.199984394893907,"FALSE"
"2948",46.3983333333333,42.6633333333333,0.361392117669802,0.514605958652785,0.121076294041145,"FALSE"
"283820",8.89666666666667,10.2316666666667,-0.307139880666537,0.149729212096703,-0.201704364360371,"FALSE"
"4004",18.5583333333333,14.7333333333333,0.652670993612042,0.762951938588688,0.332983283396358,"FALSE"
"23175",25.9166666666667,25.8533333333333,0.00757088868969751,0.0200654474265785,0.00352987179853499,"FALSE"
"9868",16.7916666666667,19.07,-0.502778302982902,0.331461411707448,-0.18355941073122,"FALSE"
"1306",36.8283333333333,13.6333333333333,2.47059207181938,0.995420249953149,1.43367776708769,"TRUE"
"26520",16.2733333333333,16.7366666666667,-0.0985470107251287,0.0106744349910677,-0.0405024298867104,"FALSE"
"4209",40.1966666666667,40.84,-0.0747799757702513,0.00357144484990002,-0.0229069962258906,"FALSE"
"1027",26.2916666666667,29.64,-0.517553715061975,0.338351259148085,-0.172939848269717,"FALSE"
"51727",17.8616666666667,18.7783333333333,-0.181688907274844,0.0518047743642657,-0.0722023184321971,"FALSE"
"4338",14.4733333333333,14.4616666666667,0.00233641999639728,0.0163074643497751,0.0011633967897573,"FALSE"
"64793",32.0316666666667,30.9616666666667,0.1565633223244,0.210589190768781,0.0490157322944811,"FALSE"
"54482",22.6016666666667,21.625,0.154092075424606,0.206590855455697,0.0637290294078252,"FALSE"
"391356",30.5016666666667,25.055,0.823662292329477,0.845022176585588,0.283789538548712,"TRUE"
"29117",21.1333333333333,21.8183333333333,-0.133302777458831,0.0256987881361623,-0.0460205611211073,"FALSE"
"84992",24.7233333333333,25.7066666666667,-0.201082902611238,0.0634581766288507,-0.0562692825531164,"FALSE"
"710",49.8816666666667,32.3016666666667,1.53496061528797,0.962185415871632,0.62690106442297,"TRUE"
"7336",16.2783333333333,17.095,-0.151691849593282,0.0353635275940717,-0.0706214267803697,"FALSE"
"6429",22.7816666666667,21.5683333333333,0.198743513916039,0.275193186339448,0.0789585976340123,"FALSE"
"51619",24.605,26.1783333333333,-0.303842789486889,0.146683685043552,-0.0894217332873997,"FALSE"
"3843",22.7233333333333,26.2583333333333,-0.622879908464044,0.394817757032361,-0.208600866199642,"FALSE"
"3189",20.8683333333333,23.6283333333333,-0.48196903906019,0.313522202693977,-0.179202486762393,"FALSE"
"285525",19.74,22.7033333333333,-0.48224020866044,0.313769854264838,-0.201782141661162,"FALSE"
"51264",25.355,24.985,0.0546529263074489,0.0645811127396426,0.0212080563307474,"FALSE"
"6605",24.4733333333333,20.4583333333333,0.704545843305127,0.791011610995138,0.25852199501013,"FALSE"
"90523",46.4483333333333,45.3666666666667,0.0951711526906043,0.115676333736599,0.0339941695099653,"FALSE"
"328",36.8566666666667,33.8766666666667,0.403011215550548,0.568119414954374,0.121633672860831,"FALSE"
"1785",28.245,27.875,0.0574894416489064,0.0677012391703479,0.0190236956403552,"FALSE"
"65005",21.5933333333333,22.1666666666667,-0.114553031152487,0.016958502663281,-0.0378058724807277,"FALSE"
"22985",22.8,21.0116666666667,0.308035437561565,0.436954173707377,0.11784322180938,"FALSE"
"216",19.91,21.96,-0.311473822104907,0.15376683656781,-0.141384833284696,"FALSE"
"5434",26.14,26.4116666666667,-0.0451991280664074,2.47255728846874e-06,-0.0149162022447149,"FALSE"
"115294",24.8766666666667,27.565,-0.409088488775492,0.250861994674133,-0.14804441602657,"FALSE"
"79085",35.9233333333333,36.565,-0.0699779494784541,0.00254683922451449,-0.025542137772214,"FALSE"
"55049",31.3483333333333,30.9766666666667,0.0498160242464223,0.059365775921986,0.0172068355581927,"FALSE"
"26505",11.8616666666667,13.7983333333333,-0.390029946033162,0.229659828465078,-0.218187282702877,"FALSE"
"9459",25.4483333333333,21.135,0.613336033812139,0.731424093776751,0.267937061791959,"FALSE"
"222068",30.3066666666667,31.77,-0.197044291283184,0.0608838566668073,-0.0680299066168011,"FALSE"
"26097",27.3316666666667,27.9716666666667,-0.0796806761466187,0.00477332893333549,-0.033392780947382,"FALSE"
"9166",11.495,13.3666666666667,-0.428264933273956,0.270014462796909,-0.217633269902947,"FALSE"
"23207",31.845,33.3916666666667,-0.210779338301686,0.0700587399397383,-0.0684212319704701,"FALSE"
"114804",16,16.8416666666667,-0.175328226153375,0.0482542598816454,-0.0739630107712166,"FALSE"
"7132",18.595,16.1833333333333,0.39185819295583,0.554483327738878,0.200405953026589,"FALSE"
"9341",32.1933333333333,30.9783333333333,0.194223879538405,0.268614238661486,0.0555024350730265,"FALSE"
"201595",16.59,18.2266666666667,-0.379212329605586,0.217496374736445,-0.135736855929041,"FALSE"
"100131138",134.058333333333,145.523333333333,-0.198540304686468,0.0618259683029863,-0.118389591705144,"FALSE"
"2632",22.2766666666667,21.56,0.0949957302076556,0.115423564665042,0.0471761953754997,"FALSE"
"223",31.9716666666667,35.565,-0.494313587939934,0.324743679445161,-0.15366421050612,"FALSE"
"5496",22.8733333333333,22.1233333333333,0.153749373009372,0.206035561162111,0.0480978516648339,"FALSE"
"5691",36.035,35.6833333333333,0.0512588972276693,0.06090823009514,0.0141484554563144,"FALSE"
"25949",17.2833333333333,19.6366666666667,-0.438645132777593,0.279052794723586,-0.184168563962036,"FALSE"
"114926",29.7666666666667,32.5983333333333,-0.344107867283125,0.183268464513226,-0.131100530530354,"FALSE"
"5606",34.2783333333333,36.3383333333333,-0.24658609694262,0.0989090465260226,-0.084195286477893,"FALSE"
"29979",20.9116666666667,23.9233333333333,-0.6286442242428,0.401143585749218,-0.194110370212609,"FALSE"
"55699",25.3,21.9933333333333,0.564861482322882,0.690111945770881,0.202071107737898,"FALSE"
"57571",36.005,25.765,1.19288367769139,0.938958428648332,0.482784674461648,"TRUE"
"5998",16.9433333333333,17.56,-0.101497180944821,0.0117516303668244,-0.0515751148080697,"FALSE"
"2783",31.7416666666667,28.7166666666667,0.387235479234715,0.548637199767775,0.144489586338392,"FALSE"
"140823",36.8866666666667,33.24,0.421144452879889,0.588468999307514,0.150179040951324,"FALSE"
"10425",29.9716666666667,35.04,-0.824483619514856,0.543215137307692,-0.225403463363908,"FALSE"
"51073",31.5466666666667,27.1083333333333,0.688078315639166,0.782089654872127,0.218751156411294,"FALSE"
"4522",24.4166666666667,23.485,0.164394386182721,0.223174377654214,0.0561266652180287,"FALSE"
"5720",36.68,25.3933333333333,1.73899021553695,0.963221784143964,0.53054385175287,"TRUE"
"55249",28.37,29.685,-0.243731967435046,0.0964911728829549,-0.0653679624943092,"FALSE"
"8409",25.5983333333333,23.865,0.280634889230913,0.397048387469219,0.101153545319165,"FALSE"
"7453",39.6633333333333,29.3766666666667,1.33980893285677,0.93859203242609,0.433135223334474,"TRUE"
"4137",18.6933333333333,21.6016666666667,-0.485605459232345,0.316862353923314,-0.208618778528665,"FALSE"
"3725",53.5416666666667,48.535,0.375981357951139,0.534090385486287,0.141636556521627,"FALSE"
"8520",24.7216666666667,25.1366666666667,-0.0715548526415219,0.00286507479118114,-0.0240173399039603,"FALSE"
"22826",22.6566666666667,21.0066666666667,0.327415018624255,0.465593398238328,0.109088368459257,"FALSE"
"3419",24.18,22.8416666666667,0.16271248097726,0.220487281945628,0.0821463222571423,"FALSE"
"947",48.4933333333333,25.0616666666667,2.36462552599238,0.988002330217853,0.952304064212259,"TRUE"
"100506428",19.1183333333333,18.6066666666667,0.0883823883245168,0.106049417303478,0.0391371362185159,"FALSE"
"9528",25.885,22.9183333333333,0.537097146278357,0.672277895197777,0.175614185934843,"FALSE"
"79035",24.495,23.1783333333333,0.239673500989126,0.335338547628789,0.0797104603144171,"FALSE"
"4835",25.8983333333333,27.2366666666667,-0.156415363903333,0.03792180828015,-0.0726908938981988,"FALSE"
"10923",20.19,20.28,-0.0184031946580895,0.00498664758928402,-0.00641674167186719,"FALSE"
