"","TwoHour_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"135114",25.5716666666667,27.625,-0.291135876409,0.775096735134784,-0.111428271332596,"FALSE"
"6418",31.66,29.48,0.300194698041779,0.711066880337291,0.102924731042111,"FALSE"
"22924",33.2533333333333,31.9483333333333,0.180408735053423,0.740182273376246,0.0577582931944062,"FALSE"
"63891",39.1783333333333,39.2616666666667,-0.0103633383802027,0.771423849270937,-0.00306539092227419,"FALSE"
"57515",33.5766666666667,33.9133333333333,-0.0429713015875158,0.776881331117989,-0.0143935800647267,"FALSE"
"302",55.855,43.92,0.581551217459834,0.728905453605829,0.346808378600549,"FALSE"
"1837",40.4333333333333,40.4916666666667,-0.006922905069664,0.77091050750938,-0.00207988199677548,"FALSE"
"6950",34.9933333333333,36.08,-0.131928215074095,0.787660585180384,-0.0441192417657597,"FALSE"
"1655",36.875,35.6016666666667,0.122564822872414,0.75197824072634,0.0506982678484926,"FALSE"
"126328",65.2033333333333,66.165,-0.060202103562093,0.779686981856623,-0.0211225411651059,"FALSE"
"5534",19.2683333333333,18.9533333333333,0.0464724858438546,0.763951223640473,0.0237801889219485,"FALSE"
"81689",30,31.09,-0.154804609185427,0.788749569635095,-0.0514881159578209,"FALSE"
"9782",34.6133333333333,33.71,0.107019597951577,0.754526050919566,0.0381512552937718,"FALSE"
"56910",47.7966666666667,48.2266666666667,-0.044264528314287,0.777101612837115,-0.0129210889232995,"FALSE"
"9296",56.7166666666667,55.5266666666667,0.117500629572257,0.752815295431958,0.0305919536779917,"FALSE"
"5701",34.2466666666667,32.59,0.243732059443836,0.724647812829481,0.0715342208872387,"FALSE"
"4712",31.2416666666667,31.915,-0.0899640457811297,0.783576744315529,-0.0307632280014886,"FALSE"
"27244",50.5066666666667,45.3133333333333,0.38959317851194,0.700286769555993,0.156538207991589,"FALSE"
"10370",43.9816666666667,38.1066666666667,0.431709066885203,0.706180000022185,0.206858859834915,"FALSE"
"5438",40.9466666666667,42.8766666666667,-0.195330081417292,0.788177699477277,-0.0664467400427077,"FALSE"
"6631",45.6883333333333,46.675,-0.124508615372573,0.787077285643272,-0.0308242070793566,"FALSE"
"55173",28.4,29.3633333333333,-0.112720525379662,0.785988876159319,-0.0481248228687694,"FALSE"
"29088",31.9066666666667,33.78,-0.23476204711778,0.786437873916965,-0.0823114319840432,"FALSE"
"9086",27.9533333333333,28.2733333333333,-0.0316603270647511,0.774930479996511,-0.0164216527500449,"FALSE"
"9351",44.5133333333333,29.9116666666667,1.43931742198249,0.916296885501668,0.573529240395003,"TRUE"
"9709",53.5366666666667,49.5533333333333,0.433301450456698,0.70649064853286,0.111545208501316,"FALSE"
"5441",67.4366666666667,67.895,-0.0314552942182735,0.774895128552664,-0.00977210687645507,"FALSE"
"10290",49.4183333333333,42.7133333333333,0.560088599352872,0.727696724239442,0.210359865841551,"FALSE"
"6913",37.63,35.485,0.255496536356653,0.722068073330079,0.0846739830651652,"FALSE"
"51573",32.8416666666667,34.8933333333333,-0.321628609712816,0.762629727136584,-0.0874240800228385,"FALSE"
"65991",40.7566666666667,41.6416666666667,-0.111687369477579,0.785885998530981,-0.0309917484722598,"FALSE"
"81493",33.3666666666667,39.8933333333333,-0.619259333258269,0.629032894630376,-0.257740106164281,"FALSE"
"8031",45.065,46.9,-0.208180531540991,0.787611653501566,-0.0575805320474919,"FALSE"
"100529067",29.545,28.6516666666667,0.0979522671393029,0.755990910166735,0.044294935957884,"FALSE"
"11345",49.6116666666667,49.0766666666667,0.0561155578461322,0.76252062526464,0.015642161175575,"FALSE"
"10498",49.1316666666667,46.8433333333333,0.224243600225556,0.728924000263732,0.068809439181639,"FALSE"
"5255",23.6366666666667,25.9933333333333,-0.277726758586476,0.779739333529413,-0.137115058538894,"FALSE"
"55969",36.11,38.3433333333333,-0.209920649587253,0.787533842634705,-0.0865773411960853,"FALSE"
"645",58.3733333333333,57.585,0.0642628484711379,0.761275155522347,0.0196163928916843,"FALSE"
"908",26.1616666666667,27.81,-0.222302881762579,0.787002141082263,-0.0881492919547824,"FALSE"
"9547",29.5683333333333,25.215,0.563329095752434,0.728152586221974,0.229770700628335,"FALSE"
"7919",50.13,52.7816666666667,-0.256491096136209,0.78446194313341,-0.0743626726972316,"FALSE"
"51074",21.5916666666667,22.4616666666667,-0.0965714089928608,0.784308507272442,-0.0569903707045846,"FALSE"
"25994",28.0133333333333,30.5183333333333,-0.306137815208926,0.768967688862871,-0.123562514598543,"FALSE"
"339123",39.9433333333333,38.1783333333333,0.220252962522893,0.729871678856957,0.0652006093675209,"FALSE"
"5707",32.415,31.915,0.0701922899751675,0.760358680463856,0.0224269251248782,"FALSE"
"11112",39.0283333333333,40.2733333333333,-0.121042876280567,0.786775295384022,-0.0453030306366565,"FALSE"
"4733",39.355,39.0116666666667,0.0486592123815718,0.763633255824499,0.0126413049730319,"FALSE"
"997",41.26,36.1166666666667,0.593011242368167,0.727863126111722,0.192079073626605,"FALSE"
"11034",35.0266666666667,23.1933333333333,1.02411491785795,0.818504441162319,0.594743521513741,"TRUE"
"2",42.6033333333333,43.0783333333333,-0.038249852070602,0.776069763330198,-0.0159961212603452,"FALSE"
