"","Trained_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"148534",5.10833333333333,5.74,-0.220912988990512,0.0739596103812941,-0.1681980688187,"FALSE"
"55709",4.76666666666667,5.67333333333333,-0.426706796944851,0.197516308866246,-0.251215890020211,"FALSE"
"54989",4.86,4.9,-0.018082797861333,0.000710062156962121,-0.0118254353967896,"FALSE"
"387263",5.52166666666667,5.595,-0.0295892028910353,7.05414787225411e-05,-0.0190343336165356,"FALSE"
"483",5.43333333333333,4.47833333333333,0.318276121929158,0.248145168222389,0.278875643105274,"FALSE"
"116159",6.88166666666667,4.66,0.811012277434186,0.516114885300313,0.562428057800741,"FALSE"
"55293",5.09333333333333,4.93333333333333,0.0706663348932247,0.0459263566031352,0.0460473675194367,"FALSE"
"55285",3.92833333333333,4.70833333333333,-0.386894721370111,0.163003083734546,-0.261299108939745,"FALSE"
"7703",4.69166666666667,3.85,0.336729878213079,0.262479866432912,0.285242070664172,"FALSE"
"27090",6.155,5.34833333333333,0.251791525533937,0.200178622618146,0.202669472923806,"FALSE"
"123263",5.76,5.21333333333333,0.235455882263742,0.186081155183153,0.143862704856116,"FALSE"
"8568",5.16,5.27,-0.0440483737254155,7.74507507087518e-05,-0.0304318962139603,"FALSE"
"80018",4.10666666666667,4.07,0.0176496236886138,0.0106920904974893,0.012939055707498,"FALSE"
"5810",4.95166666666667,4.9,0.0226036209039571,0.0132465532151577,0.0151324501116875,"FALSE"
"2035",4.785,5.12333333333333,-0.168787142475273,0.0368026011676538,-0.0985638344835894,"FALSE"
"9219",4.81333333333333,4.29,0.219281210594202,0.168946350883342,0.166058688666469,"FALSE"
"26973",3.92833333333333,3.31166666666667,0.281451750852817,0.220627646401589,0.246359886000497,"FALSE"
"2517",4.21833333333333,5.40833333333333,-0.504533293370499,0.26783123894029,-0.358510970775817,"FALSE"
"2734",4.85833333333333,5.57,-0.312898582577404,0.123928701905483,-0.197215849973329,"FALSE"
"5993",5.635,5.53166666666667,0.0372482261760368,0.0222606459032129,0.0267013868150775,"FALSE"
"2013",5.57333333333333,4.90333333333333,0.255317891259795,0.202856530710803,0.184777600826053,"FALSE"
"9578",5.14833333333333,4.955,0.0824667127264467,0.0528404910435185,0.0552204077199935,"FALSE"
"283459",5.44833333333333,5.595,-0.0663736271343173,0.000908973822025483,-0.038323159930284,"FALSE"
"9733",5.27666666666667,5.61666666666667,-0.145785050844419,0.0240288133049086,-0.0900873359320397,"FALSE"
"4296",5.445,4.89166666666667,0.218866795427505,0.168471171252687,0.154605951440649,"FALSE"
"25934",4.97666666666667,4.08166666666667,0.370599592213097,0.286404298723255,0.286021391570563,"FALSE"
